商品名・メーカー名検索,メーカー名,商品名,羽田限定,東京限定,金額,入数,仏事,日持ち,おもたせ,取り扱い店舗
東京から揚げせんべい,越前海鮮倶楽部,東京から揚げせんべい,0,1,1382,2,0,1,1,ピア１、ピア４、スマイルトーキョー、東京食賓館A
叶匠壽庵,叶匠壽庵,あも、羽雲,0,0,,,0,0,1,和菓子館、金の翼
あも,叶匠壽庵,あも,0,0,1296,1,0,0,1,和菓子館、金の翼
羽雲,叶匠壽庵,羽雲,1,1,1188,5,0,1,1,ピア１、ピア４、和菓子館、スマイルトーキョー、東京食賓館A、東京食賓館B
羽雲,叶匠壽庵,羽雲,1,1,2376,10,0,1,1,ピア１、ピア４、和菓子館、スマイルトーキョー、東京食賓館A、東京食賓館B
かみなり舎,かみなり舎,ﾆｭｰﾖｰｸﾊﾟｰﾌｪｸﾄﾁｰｽﾞ,0,0,0,0,0,0,0,-
ﾆｭｰﾖｰｸﾊﾟｰﾌｪｸﾄﾁｰｽﾞ,かみなり舎,ﾆｭｰﾖｰｸﾊﾟｰﾌｪｸﾄﾁｰｽﾞ,0,1,775,5,0,1,1,洋菓子館
ﾆｭｰﾖｰｸﾊﾟｰﾌｪｸﾄﾁｰｽﾞ,かみなり舎,ﾆｭｰﾖｰｸﾊﾟｰﾌｪｸﾄﾁｰｽﾞ,0,1,1080,8,0,1,1,洋菓子館
ﾆｭｰﾖｰｸﾊﾟｰﾌｪｸﾄﾁｰｽﾞ,かみなり舎,ﾆｭｰﾖｰｸﾊﾟｰﾌｪｸﾄﾁｰｽﾞ,0,1,1620,12,0,1,1,洋菓子館
ﾆｭｰﾖｰｸﾊﾟｰﾌｪｸﾄﾁｰｽﾞ,かみなり舎,ﾆｭｰﾖｰｸﾊﾟｰﾌｪｸﾄﾁｰｽﾞ,0,1,2430,18,0,1,1,洋菓子館
亀十,亀十,どら焼き,0,0,0,0,0,0,0,-
亀十のどら焼き,亀十,どら焼き,0,1,280,1,0,0,1,ピア１、ピア４、スマイルトーキョー、東京食賓館A
クラブハリエ,クラブハリエ,バームクーヘン,0,0,0,0,0,0,0,-
クラブハリエのバームクーヘン,クラブハリエ,バームクーヘン,0,0,2592,1,0,0,1,金の翼
クラブハリエのバームクーヘン,クラブハリエ,バームクーヘン,0,0,3780,1,0,0,1,金の翼
黒船,黒船,カステラ,0,0,0,0,0,0,0,-
黒船のｶｽﾃﾗ,黒船,カステラ,0,1,1512,1,0,0,1,金の翼、東京食賓館A
桂新堂,桂新堂,東京もんじゃ焼きえびせんべい,0,0,,,0,1,1,スマイルトーキョー
東京もんじゃ焼きえびせんべい,桂新堂,東京もんじゃ焼きえびせんべい,0,1,780,6,0,1,1,スマイルトーキョー
東京もんじゃ焼きえびせんべい,桂新堂,東京もんじゃ焼きえびせんべい,0,1,1300,10,0,1,1,スマイルトーキョー
めんべい,-,めんべい,0,0,540,8,0,1,1,トラベルアイル、デリーツ
ｺﾛﾝﾊﾞﾝ,ｺﾛﾝﾊﾞﾝ,原宿焼きｼｮｺﾗ,0,0,0,0,0,0,0,-
原宿焼きｼｮｺﾗ,ｺﾛﾝﾊﾞﾝ,原宿焼きｼｮｺﾗ,0,1,1188,12,0,1,1,スマイルトーキョー
資生堂ﾊﾟｰﾗｰ,資生堂ﾊﾟｰﾗｰ,ﾁｰｽﾞｹｰｷ、花椿ﾋﾞｽｹｯﾄ、羽田ﾗ・ｶﾞﾅｯｼｭ,0,0,0,0,0,0,0,-
ﾁｰｽﾞｹｰｷ,資生堂ﾊﾟｰﾗｰ,ﾁｰｽﾞｹｰｷ,0,0,1080,3,0,0,1,"ピア4、東京食賓館3、スマイルトーキョー、東京食賓館B,東京食賓館A"
ﾁｰｽﾞｹｰｷ,資生堂ﾊﾟｰﾗｰ,ﾁｰｽﾞｹｰｷ,0,0,2160,6,0,0,1,"ピア4、東京食賓館3、スマイルトーキョー、東京食賓館B,東京食賓館A"
花椿ﾋﾞｽｹｯﾄ,資生堂ﾊﾟｰﾗｰ,花椿ﾋﾞｽｹｯﾄ,0,0,1998,24,0,1,1,ピア4、東京食賓館3、スマイルトーキョー
羽田ﾗ・ｶﾞﾅｯｼｭ,資生堂ﾊﾟｰﾗｰ,羽田ﾗ・ｶﾞﾅｯｼｭ,1,1,675,6,0,1,1,"ピア4、東京食賓館3、スマイルトーキョー、東京食賓館B,東京食賓館A"
羽田ﾗ・ｶﾞﾅｯｼｭ,資生堂ﾊﾟｰﾗｰ,羽田ﾗ・ｶﾞﾅｯｼｭ,1,1,1242,12,0,1,1,"ピア4、東京食賓館3、スマイルトーキョー、東京食賓館B,東京食賓館A"
羽田ﾗ・ｶﾞﾅｯｼｭ,資生堂ﾊﾟｰﾗｰ,羽田ﾗ・ｶﾞﾅｯｼｭ,1,1,1836,18,0,1,1,"ピア4、東京食賓館3、スマイルトーキョー、東京食賓館B,東京食賓館A"
治一郎,治一郎,バームクーヘン,0,0,0,0,0,0,0,-
治一郎のﾊﾞｳﾑｸｰﾍﾝ,治一郎,バームクーヘン,0,0,1380,1,0,1,1,"ピア１、ピア４、スマイルトーキョー、東京食賓館B,東京食賓館A"
治一郎のﾊﾞｳﾑｸｰﾍﾝ,治一郎,バームクーヘン,0,0,2400,1,0,1,1,"ピア１、ピア４、スマイルトーキョー、東京食賓館B,東京食賓館A"
新宿中村屋,新宿中村屋,ｶﾘｰあられ,0,0,0,0,0,0,0,-
ｶﾘｰあられ,新宿中村屋,ｶﾘｰあられ,0,0,601,8,0,1,0,ピア１、ピア４、スマイルトーキョー、東京食賓館A
ｶﾘｰあられ,新宿中村屋,ｶﾘｰあられ,0,0,1080,14,0,1,1,ピア１、ピア４、スマイルトーキョー、東京食賓館A
東京月餅,新宿中村屋,ｶﾘｰあられ,0,1,1383,8,0,1,1,ピア４、東京食賓館B
清月堂本店,清月堂本店,おとし文,0,0,0,0,0,0,0,-
おとし文,清月堂本店,おとし文,0,0,1664,8,0,0,1,ピア４、スマイルトーキョー
千疋屋総本店,千疋屋総本店,,0,0,0,0,0,0,0,東京食賓館３、金の翼
西光亭,西光亭,くるみのｸｯｷｰ,0,0,0,0,0,0,0,-
